Population	Species	Date	Month	Subpopulation	Quadrat	Cauloid_size (cm)	Fertility (0-4)	Leaf_size (cm)	Comments
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	19	7			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	19	3.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	19	12			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	19	9			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	19	2.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	19	2.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	20	7.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	20	8			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	20	6			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	20	8			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	20	7			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	20	4.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	20	6			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	20	3			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	20	7			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	20	6			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	20	7			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	20	8			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	20	1.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	21	8			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	21	5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	21	10			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	21	8			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	21	9			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	22	5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	22	4			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	22	4			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	23	5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	23	4.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	24	12			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	24	8.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	24	4			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	24	4.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	24	7			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	24	5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	24	6.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	25	3.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	25	0.1			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	25	0.1			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	25	0.1			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	25	2			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	25	6			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	25	3			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	25	8			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	25	1.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	25	4			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	25	11			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	25	5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	25	5.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	26	15			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	26	7			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	26	13			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	26	14			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	26	15			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	27	7	1		
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	27	11			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	27	19	1		
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	27	14			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	27	4			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	28	22	1		
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	28	15			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	28	9			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	28	17.5	1		
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	28	11			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	28	12.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	28	19			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	29	10			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	29	12			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	29	8			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	29	21			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	29	14			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	29	12			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	30	2			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	30	4			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	30	10			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	30	3			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	30	8			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	30	7.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	30	4			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	30	2			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 2	30	1			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 3	32	5.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 3	32	2			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 3	32	0.1			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 3	33	0.1			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 3	33	0.1			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 3	33	3			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 3	34	4			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 3	34	5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Nord 3	34	2.5			
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	1	9	2		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	1	7	3		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	2	8	2		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	2	9	4		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	3	0.7	1		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	3	3	4		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	3	4	3		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	3	5	4		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	4	7	3		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	5	5	1		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	5	19	2		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	6	4	1		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	6	3			
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	6	1	1		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	6	6	4		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	7	1			
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	7	3			
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	8	7			
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	8	9	3		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	8	3			
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	8	4	1		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	9	5	3		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	9	7	2		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	9	10	3		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	9	11	3		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	9	11	3		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	9	7	1		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	9	9	3		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	10	6	3		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	10	14	3		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	10	15	4		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	11	7	1		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	11	4	4		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	11	8	4		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	11	1			
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	11	1			
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	12	12	4		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	12	6	4		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Sud 1	12	0.5			
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	13	13	3		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	13	8	2		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	13	4	1		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	13	9	4		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	14	8	1		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	14	9	2		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	14	10	3		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	14	8			
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	14	19	3		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	14	13	2		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	14	3			
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	14	18	2		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	14	23	2		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	15	6	1		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	15	8	1		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	15	7			
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	15	4	2		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	15	7	3		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	15	3	1		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	15	14	2		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	16	3			
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	16	17	3		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	16	10	2		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	16	12	2		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	16	14	2		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	16	11	3		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	17	4	2		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	17	7	3		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	17	2			
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	17	9	2		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	17	11	2		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	18	4	2		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	18	5	3		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	18	15	3		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	18	12	4		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	19	17	2		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	19	10	3		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	19	12	2		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	19	19	2		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	19	22	3		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 2	19	25	4		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 3	20	8	4		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 4	21	2			
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 5	21	2.5			
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 6	22	9	3		
Cala Estreta	Cystoseira crinita	5/8/2020	April	Nord 7	22	5			
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	1	6	1		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	1	8	2		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	1	7.5	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	1	10	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	1	11	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	1	14	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	1	10	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	1	8	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	1	8.5	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	1	8	2		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	1	3	2		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	2	2	2		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	2	6	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	2	6	2		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	2	5	2		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	2	5	2		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	2	7.5	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	2	8	4		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	2	6	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	2	3	2		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	3	22	2		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	3	19	2		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	3	23	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	3	13	2		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	3	22	4		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	4	19	2		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	4	6	0		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	4	17	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	4	11	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	4	14	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	4	13	2		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	5	17	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	5	9	2		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	5	8	1		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	5	11	2		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	5	13	2		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	5	20	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	5	18	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	6	10	1		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	6	6	0		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	6	6	1		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	6	4	1		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	6	3	1		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	6	5	1		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 2	6	13	2		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	7	9	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	7	7	4		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	7	9	4		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	8	11	4		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	8	4	0		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	9	12	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	9	19	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	9	8	2		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	9	15	8		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	10	16	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	10	9	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	10	10	4		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	10	4	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	11	5	2		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	11	7	4		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	11	1.5	2		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	12	9	4		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	13	10	4		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	13	13	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	13	7.5	2		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	13	8	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	14	11	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	15	19	4		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	15	5	2		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	15	11	4		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	16	8	1		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	17	8.5	4		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	17	9	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	17	3	0		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	17	4	1		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	18	4	1		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	18	5	2		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	19	6	2		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	19	2	1		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	19	9	4		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	20	9	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	20	3	0		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	20	8	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	20	9	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	21	4	4		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	21	9	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	21	10	3		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Sud 1	21	6	4		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 3	22	4	1		
Cala Estreta	Cystoseira crinita	5/29/2020	May	Nord 3	22	8	3		
Cala Estreta	Cystoseira crinita	6/29/2020	June	Nord 2	1	9	2		
Cala Estreta	Cystoseira crinita	6/29/2020	June	Nord 2	1	6	2		
Cala Estreta	Cystoseira crinita	6/29/2020	June	Nord 2	1	7	3		
Cala Estreta	Cystoseira crinita	6/29/2020	June	Nord 2	1	7	3		
Cala Estreta	Cystoseira crinita	6/29/2020	June	Nord 2	2	10	3		
Cala Estreta	Cystoseira crinita	6/29/2020	June	Nord 2	2	8	2		
Cala Estreta	Cystoseira crinita	6/29/2020	June	Nord 2	2	20	3		
Cala Estreta	Cystoseira crinita	6/29/2020	June	Nord 2	2	15	2		
Cala Estreta	Cystoseira crinita	6/29/2020	June	Nord 2	3	15	3		
Cala Estreta	Cystoseira crinita	6/29/2020	June	Nord 2	3	25	3		
Cala Estreta	Cystoseira crinita	6/29/2020	June	Nord 2	3	13	1		
Cala Estreta	Cystoseira crinita	6/29/2020	June	Nord 2	3	14	3		
Cala Estreta	Cystoseira crinita	6/29/2020	June	Nord 2	3	16	2		
Cala Estreta	Cystoseira crinita	6/29/2020	June	Nord 2	4	11	2		
Cala Estreta	Cystoseira crinita	6/29/2020	June	Nord 2	4	18	2		
Cala Estreta	Cystoseira crinita	6/29/2020	June	Nord 2	4	17	3		
Cala Estreta	Cystoseira crinita	6/29/2020	June	Nord 2	4	15	2		
Cala Estreta	Cystoseira crinita	6/29/2020	June	Nord 2	5	12	3		
Cala Estreta	Cystoseira crinita	6/29/2020	June	Nord 2	5	11	1		
Cala Estreta	Cystoseira crinita	6/29/2020	June	Nord 2	5	10	3		
Cala Estreta	Cystoseira crinita	6/29/2020	June	Nord 2	6	7	1		
Cala Estreta	Cystoseira crinita	6/29/2020	June	Nord 2	6	6	1		
