Population	Species	Date	Month	Quadrat	Cauloid_size	Leaf_size	Fertility	Comments
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	9	2.5	4	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	9	6	7.5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	9	2	2	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	10	3	4	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	10	5	7	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	10	1	3	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	10	3	5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	10	2	3	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	10	4	6	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	10	3	5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	10	8	9	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	10	2	5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	10	7	9	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	10	4	6	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	11	4	6	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	11	5	6	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	11	3	4	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	11	5	7	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	11	5	6	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	11	5	6	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	11	4	5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	11	1	4	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	11	2	3	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	1	3	27	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	1	4	37	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	1	5	39	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	2	4	24	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	2	10	33	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	2	3	31	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	2	3	35	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	2	6	28	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	3	2	13	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	3	5	29	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	3	3	22	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	3	2	21	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	3	6	27	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	3	2	33	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	4	1	7	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	4	3	36	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	4	1	7	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	4	6	35	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	4	3	39	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	4	7	33	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	4	6	21	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	5	4	22	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	5	1	16	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	5	2	13	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	5	3	30	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	5	2	29	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	5	4	27	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	5	12	35	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	5	1	10	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	5	1	9	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	6	3	36	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	6	2	21	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	6	2	14	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	6	3	28	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	6	3	24	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	6	4	19	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	6	1	15	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	7	7	20	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	7	6	25	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	7	4	19	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	7	3	19	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	7	1	13	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	7	2	12	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	7	2	18	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	7	4	25	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	7	5	34	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	7	2	29	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	7	2	31	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	8	7	35	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	8	4	29	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	8	2	25	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	8	1	32	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	8	3	30	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	8	2	29	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	8	2	25	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	8	1	15	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	9	2	26	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	9	8	22	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	9	5	32	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	9	6	30	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	9	9	35	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	9	10	40	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	10	4	21	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	10	1	5	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	10	1	14	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	10	3	21	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	10	4	27	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	10	2	32	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	10	3	35	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	10	3	32	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	10	3	24	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	10	4	42	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	10	16	46	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	10	5	42	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	11	2	21	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	11	3	24	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	11	1	20	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	11	7	38	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	11	1	23	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	11	2	21	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	11	1	16	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	11	3	28	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	11	3	24	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	11	10	13	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	11	3	21	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	11	1	22	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	11	3	28	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	11	2	17	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	11	4	27	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	12	6	24	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	12	7	20	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	12	6	16	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	12	3	16	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	12	2	24	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	12	4	29	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	12	3	28	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	12	3	30	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	12	1	7	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	12	2	19	0	
Cala Estreta	Cystoseira mediterranea	5/8/2020	April	12	2	24	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	1	5	28	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	1	3	29	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	2	1	4	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	2	2	4	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	2	3	10	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	2	4	18	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	2	4.5	21	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	3	3	21	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	3	5	22	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	3	3	19.5	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	3	3.5	18	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	3	1	19	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	3	2	32	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	3	8	30	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	4	5	35	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	4	7	14	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	5	4.5	22	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	5	2.5	13	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	5	2	22	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	5	3	25	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	5	1	19	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	6	6	41	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	6	9	37	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	6	8.5	47	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	6	9	38	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	7	2.5	38	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	7	7	32	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	7	4	31	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	7	1	17	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	7	5	31	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	8	7.5	35	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	8	8	30	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	8	8	26	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	8	9	27	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	8	3	15	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	8	5	28	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	9	2	32	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	9	3	21	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	9	1	36	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	9	5	48	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	10	2	34	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	10	15	22	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	10	2	24	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	11	11	47	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	11	7	35	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	11	10	34	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	11	13	43	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	12	5	22	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	12	8	36	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	12	1	9.5	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	12	10	40	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	13	5	29	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	13	3.5	42	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	13	6.5	37	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	13	9	41	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	14	2	40	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	14	2.5	34	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	14	4.5	35	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	14	4	49	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	15	3	21	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	15	6	36	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	16	2	32	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	16	6	20	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	16	5	25	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	16	8	29	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	17	2	20	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	17	2.5	33	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	17	3	31	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	17	1.5	23	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	17	4	41	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	18	6	18	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	18	3	15.5	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	18	2	20	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	18	7	26	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	19	6	25	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	19	3	22	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	19	7	45	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	19	1.5	45	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	20	5	34	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	20	3	32	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	20	6.5	33	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	21	2	29	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	21	5.5	37	0	
Cala Estreta	Cystoseira mediterranea	5/29/2020	May	21	3	34	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	1	2	31	0	Algunes estan fertils (F1) 5% població
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	1	5	37	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	1	1.5	34	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	1	4.5	32	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	1	7	37	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	2	3	23	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	2	0.5	20	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	2	4	31	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	2	5	34	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	2	8	28	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	3	6	44	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	3	4	57	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	3	8	45	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	4	4	24	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	4	3.5	8	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	4	7	23	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	4	6	25	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	5	6	40	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	5	7	50	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	5	4	40	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	5	5	41	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	6	5	28	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	6	4	24	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	6	2	25	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	6	3	33	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	6	6	37	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	7	2	16	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	7	5	22	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	7	4	25	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	7	1	14	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	8	5	28	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	8	5	39	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	8	4	39	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	8	4	36	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	9	3	41	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	9	4.5	39	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	10	1	32	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	10	3.5	35	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	10	8	25	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	10	4	31	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	10	5	37	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	11	7	49	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	11	2	29	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	11	8	40	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	11	7	47	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	12	0.5	20	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	12	1	22	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	12	5	38	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	12	7	19	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	13	5	48	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	13	8	48	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	13	5	50	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	13	4	44	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	14	10	39	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	14	4	45	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	14	6	51	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	15	1	29	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	15	5	50	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	15	2	46	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	15	1	49	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	15	3	42	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	16	2	34	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	16	1	38	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	16	4	38	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	16	2	43	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	17	8	49	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	17	6	45	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	17	1	39	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	17	7	34	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	18	4	25	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	18	7	4	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	18	2	36	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	18	4	44	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	18	2	43	0	
Cala Estreta	Cystoseira mediterranea	6/29/2020	June	18	2	36	0	
