"Population"	"Species"	"Date"	"Month"	"Quadrat"	"Cauloid_size"	"Leaf_size"	"Fertility"	"Stage"	"Subpopulation"	"Year"	"uniq_id"
"19"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"3"	5	5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"20"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"3"	2	4.5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"21"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"3"	8	9	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"22"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"3"	3	5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"23"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"4"	8	10.5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"24"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"4"	4.5	7	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"25"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"4"	5	7.5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"26"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"4"	7	11	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"27"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"4"	3	5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"28"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"4"	5	7.5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"29"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"4"	2	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"30"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"4"	4	4	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"31"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"5"	6	6	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"32"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"5"	3	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"33"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"5"	6	7	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"34"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"5"	3	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"35"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"5"	5	7	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"36"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"5"	7	8	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"37"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"5"	3	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"38"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"5"	2	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"39"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"6"	9	10	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"40"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"6"	4	5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"41"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"6"	6	7	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"42"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"6"	5	5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"43"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"6"	6	7	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"44"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"6"	8	1	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"45"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"6"	6	7	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"46"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"6"	5	5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"47"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"6"	3	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"48"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"6"	4	4	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"49"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"7"	6	7.5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"50"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"7"	9	9	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"51"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"7"	8.5	9	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"52"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"7"	6.5	8.5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"53"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"7"	3.5	4	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"54"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"7"	6	7	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"55"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"7"	3.5	4.5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"56"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"7"	5.8	6	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"57"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	2	2	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"58"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	2	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"59"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	4	8	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"60"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	3.5	5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"61"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	2.5	4	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"62"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	3	5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"63"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	1	2	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"64"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	2	2	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"65"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	3.5	4	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"66"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	2.5	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"67"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	7	9	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"68"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	3.5	6	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"69"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	6	8	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"70"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	1	1	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"71"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	3	5.5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"72"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"9"	3	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"73"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"9"	2	2	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"74"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"9"	3	4	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"75"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"9"	2.5	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"76"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"9"	2	2	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"77"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"9"	2	2	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"78"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"9"	4	5.5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"79"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"9"	2	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"80"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"9"	3	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"81"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"9"	2.5	4	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"82"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"9"	6	7.5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"83"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"9"	2	2	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"84"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"10"	3	4	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"85"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"10"	5	7	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"86"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"10"	1	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"87"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"10"	3	5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"88"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"10"	2	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"89"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"10"	4	6	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"90"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"10"	3	5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"91"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"10"	8	9	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"92"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"10"	2	5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"93"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"10"	7	9	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"94"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"10"	4	6	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"95"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"11"	4	6	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"96"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"11"	5	6	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"97"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"11"	3	4	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"98"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"11"	5	7	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"99"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"11"	5	6	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"100"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"11"	5	6	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"101"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"11"	4	5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"102"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"11"	1	4	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"103"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"11"	2	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"104"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"1"	6	16	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"105"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"1"	8	14	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"106"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"1"	2	7	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"107"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"1"	4	10	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"108"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"1"	2	6	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"109"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"1"	7	17	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"110"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"1"	7	13	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"111"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"1"	9	14	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"112"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"2"	6	12	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"113"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"2"	4	10	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"114"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"2"	4	7	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"115"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"2"	4	12	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"116"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"3"	8	12	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"117"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"3"	5	9	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"118"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"3"	5	7	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"119"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"3"	2	5	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"120"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"3"	4	8	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"121"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"3"	6.5	11	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"122"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"4"	6	6	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"123"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"4"	5	10	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"124"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"4"	5	7	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"125"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"4"	4	9	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"126"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"4"	2	6	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"127"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"5"	7	9	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"128"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"5"	6	7	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"129"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"5"	2	8	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"130"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"5"	4	11	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"131"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"5"	4	5	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"132"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"6"	6	14	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"133"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"6"	7	15	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"134"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"6"	3	8	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"135"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"6"	4	10	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"136"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"6"	5	16	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"137"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"6"	8	20	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"138"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"7"	7	16	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"139"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"7"	5	16	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"140"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"7"	4	18	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"141"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"7"	9	23	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"142"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"7"	10	15	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"143"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"7"	9	19	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"144"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"7"	8	20	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"145"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"8"	6	9	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"146"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"8"	5	12	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"147"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"8"	6	15	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"148"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"8"	12	18	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"149"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"9"	1	6	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"150"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"9"	5	12	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"151"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"9"	7	11	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"152"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"9"	6	17	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"153"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"9"	6	11	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"154"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"10"	8	13	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"155"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"10"	3	15	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"156"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"10"	3	13	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"157"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"10"	4	16	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"158"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"10"	9	25	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"159"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"10"	9	12	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"160"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"10"	11	25	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"161"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"10"	3	8	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"162"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"10"	3	12	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"163"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"10"	5	15	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"164"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"11"	3	8	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"165"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"11"	2	7	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"166"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"11"	2	10	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"167"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"11"	5	12	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"168"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"11"	3	14	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"169"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"11"	5	16	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"170"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"12"	1	4	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"171"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"12"	8	11	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"172"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"12"	5	9	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"173"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"12"	13	16	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"174"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"13"	8	13	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"175"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"13"	7	12	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"176"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"13"	9	12	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"177"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"13"	6	9	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"178"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"14"	6	11	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"179"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"14"	7	10	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"180"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"14"	5	6	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"181"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"14"	5	5	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"182"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"14"	4	5	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
"183"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"14"	5	5	0	"Adult"	"CE"	2020	"CE_med_Mar_20"
